Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 51.86      5.31     5.31                             MemWrapper::sendBurstResp()
 39.75      9.38     4.07                             MemWrapper::respMonitor()
  1.17      9.50     0.12    26132     0.00     0.00  pe::isEndOfBfsIteration()
  0.98      9.60     0.10  6205568     0.00     0.00  ramulator::DRAM<ramulator::DDR3>::decode(ramulator::DDR3::Command, int const*)
  0.78      9.68     0.08                             pe::getMemResp()
  0.59      9.74     0.06                             MemWrapper::getBurstReq()
  0.49      9.79     0.05  1719008     0.00     0.00  std::_Function_handler<std::_List_iterator<ramulator::Request> (std::_List_iterator<ramulator::Request>, std::_List_iterator<ramulator::Request>), ramulator::Scheduler<ramulator::DDR3>::compare::{lambda(std::_List_iterator<ramulator::Request>, std::_List_iterator<ramulator::Request>)#4}>::_M_invoke(std::_Any_data const&, std::_List_iterator<ramulator::Request>&&, std::_Any_data const)
  0.49      9.84     0.05        1    50.00   419.49  void MemWrapper::run_acc<ramulator::DDR3>(ramulator::Config const&, ramulator::Memory<ramulator::DDR3, ramulator::Controller>&)
  0.39      9.88     0.04    71928     0.00     0.00  std::map<long, int, std::less<long>, std::allocator<std::pair<long const, int> > >::operator[](long&&)
  0.29      9.91     0.03  3626117     0.00     0.00  ramulator::DRAM<ramulator::DDR3>::check_row_hit(ramulator::DDR3::Command, int const*)
  0.29      9.94     0.03                             pe::processExpandDepthReadResp()
  0.20      9.96     0.02  1527738     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.20      9.98     0.02  1320702     0.00     0.00  std::vector<int, std::allocator<int> >::vector<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, void>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::allocator<int> const&)
  0.20     10.00     0.02                             pe::frontierAnalysis()
  0.20     10.02     0.02                             pe::issueExpandCiaoReadReq()
  0.20     10.04     0.02                             pe::issueExpandDepthReadReq()
  0.15     10.06     0.02    52264     0.00     0.00  sc_core::sc_signal<BurstOp, (sc_core::sc_writer_policy)0>::write(BurstOp const&)
  0.10     10.07     0.01  6204928     0.00     0.00  std::_Function_handler<ramulator::DDR3::Command (ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int), ramulator::DDR3::init_prereq()::{lambda(ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int)#2}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, ramulator::DDR3::Command&&, int&&)
  0.10     10.08     0.01  6204928     0.00     0.00  std::_Function_handler<ramulator::DDR3::Command (ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int), ramulator::DDR3::init_prereq()::{lambda(ramulator::DRAM<ramulator::DDR3>*, ramulator::DDR3::Command, int)#1}>::_M_invoke(std::_Any_data const&, ramulator::DRAM<ramulator::DDR3>*&&, ramulator::DDR3::Command&&, int&&)
  0.10     10.09     0.01  6134350     0.00     0.00  ramulator::DRAM<ramulator::DDR3>::check(ramulator::DDR3::Command, int const*, long)
  0.10     10.10     0.01   511268     0.00     0.00  std::_Function_base::_Base_manager<void MemWrapper::run_acc<ramulator::DDR3>(ramulator::Config const&, ramulator::Memory<ramulator::DDR3, ramulator::Controller>&)::{lambda(ramulator::Request&)#1}>::_M_manager(std::_Any_data&, std::_Function_base::_Base_manager<void MemWrapper::run_acc<ramulator::DDR3>(ramulator::Config const&, ramulator::Memory<ramulator::DDR3, ramulator::Controller>&)::{lambda(ramulator::Request&)#1}> const&, std::_Manager_operation)
  0.10     10.11     0.01   291957     0.00     0.00  void std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_emplace_back_aux<std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> > const&)
  0.10     10.12     0.01    93682     0.00     0.00  Stats::VectorBase<Stats::Vector, Stats::Scalar>::operator[](unsigned int)
  0.10     10.13     0.01    93371     0.00     0.00  BurstOp::operator=(BurstOp const&)
  0.10     10.14     0.01    54392     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::~vector()
  0.10     10.15     0.01    36054     0.00     0.00  std::__cxx11::list<ramulator::Request, std::allocator<ramulator::Request> >::_M_erase(std::_List_iterator<ramulator::Request>)
  0.10     10.16     0.01    23976     0.00     0.00  std::map<long, bool, std::less<long>, std::allocator<std::pair<long const, bool> > >::operator[](long const&)
  0.10     10.17     0.01    16942     0.00     0.00  ramulator::DRAM<ramulator::DDR3>::update_state(ramulator::DDR3::Command, int const*)
  0.10     10.18     0.01    13203     0.00     0.00  MemWrapper::getMinArriveTime(std::vector<long, std::allocator<long> > const&)
  0.10     10.19     0.01                             pe::issueInspectDepthReadReq()
  0.10     10.20     0.01                             pe::processExpandRpaoReadResp()
